Namespace(exp_name='exp2', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 0, loss: 0.423822, train acc: 0.828746, train avg acc: 0.830762, train iou: 0.709345
Test 0, loss: 1.836297, test acc: 0.429586, test avg acc: 0.524100, test iou: 0.273400
Train 1, loss: 0.201220, train acc: 0.925295, train avg acc: 0.924402, train iou: 0.862866
Test 1, loss: 0.687503, test acc: 0.762062, test avg acc: 0.726292, test iou: 0.574145
Train 2, loss: 0.148785, train acc: 0.946218, train avg acc: 0.945472, train iou: 0.898474
Test 2, loss: 0.457113, test acc: 0.821859, test avg acc: 0.705916, test iou: 0.592116
Train 3, loss: 0.113447, train acc: 0.959767, train avg acc: 0.958496, train iou: 0.922477
Test 3, loss: 0.488161, test acc: 0.829875, test avg acc: 0.722536, test iou: 0.613238
Train 4, loss: 0.100700, train acc: 0.964068, train avg acc: 0.962819, train iou: 0.930487
Test 4, loss: 0.187793, test acc: 0.943339, test avg acc: 0.943699, test iou: 0.884500
Train 5, loss: 0.091309, train acc: 0.968006, train avg acc: 0.966392, train iou: 0.937356
Test 5, loss: 0.209357, test acc: 0.942067, test avg acc: 0.949150, test iou: 0.882057
Train 6, loss: 0.081100, train acc: 0.971826, train avg acc: 0.970118, train iou: 0.944656
Test 6, loss: 0.680437, test acc: 0.759249, test avg acc: 0.645919, test iou: 0.518477
Train 7, loss: 0.075624, train acc: 0.973728, train avg acc: 0.972371, train iou: 0.948306
Test 7, loss: 0.199909, test acc: 0.946640, test avg acc: 0.955471, test iou: 0.890189
Train 8, loss: 0.072051, train acc: 0.974866, train avg acc: 0.973274, train iou: 0.950376
Test 8, loss: 0.189009, test acc: 0.947568, test avg acc: 0.953948, test iou: 0.895090
Train 9, loss: 0.066060, train acc: 0.976934, train avg acc: 0.975462, train iou: 0.954084
Test 9, loss: 0.165696, test acc: 0.951497, test avg acc: 0.958039, test iou: 0.901874
Train 10, loss: 0.060155, train acc: 0.978892, train avg acc: 0.977593, train iou: 0.958061
Test 10, loss: 0.190698, test acc: 0.947983, test avg acc: 0.956267, test iou: 0.895185
Train 11, loss: 0.069589, train acc: 0.975411, train avg acc: 0.973943, train iou: 0.951060
Test 11, loss: 0.191532, test acc: 0.950968, test avg acc: 0.958300, test iou: 0.898665
Train 12, loss: 0.057098, train acc: 0.979715, train avg acc: 0.978457, train iou: 0.959626
Test 12, loss: 0.207190, test acc: 0.942980, test avg acc: 0.950431, test iou: 0.889727
Train 13, loss: 0.053611, train acc: 0.980934, train avg acc: 0.979796, train iou: 0.961966
Test 13, loss: 0.331324, test acc: 0.908923, test avg acc: 0.912652, test iou: 0.838885
Train 14, loss: 0.058735, train acc: 0.979515, train avg acc: 0.978235, train iou: 0.959162
Test 14, loss: 0.198888, test acc: 0.943014, test avg acc: 0.943687, test iou: 0.890766
Train 15, loss: 0.053819, train acc: 0.980895, train avg acc: 0.979786, train iou: 0.961872
Test 15, loss: 0.241999, test acc: 0.943911, test avg acc: 0.953459, test iou: 0.885745
Train 16, loss: 0.048398, train acc: 0.982697, train avg acc: 0.981592, train iou: 0.965401
Test 16, loss: 0.184486, test acc: 0.952286, test avg acc: 0.958516, test iou: 0.903614
Train 17, loss: 0.046443, train acc: 0.983370, train avg acc: 0.982301, train iou: 0.966720
Test 17, loss: 0.146304, test acc: 0.955050, test avg acc: 0.958136, test iou: 0.909790
Train 18, loss: 0.046440, train acc: 0.983414, train avg acc: 0.982419, train iou: 0.966776
Test 18, loss: 0.174164, test acc: 0.946594, test avg acc: 0.939040, test iou: 0.892811
Train 19, loss: 0.046311, train acc: 0.983275, train avg acc: 0.982257, train iou: 0.966478
Test 19, loss: 0.159783, test acc: 0.958021, test avg acc: 0.964533, test iou: 0.913745
Train 20, loss: 0.045187, train acc: 0.983730, train avg acc: 0.982763, train iou: 0.967362
Test 20, loss: 1.669589, test acc: 0.617287, test avg acc: 0.592365, test iou: 0.434388
Train 21, loss: 0.089503, train acc: 0.967990, train avg acc: 0.966325, train iou: 0.936939
Test 21, loss: 0.768648, test acc: 0.835981, test avg acc: 0.745419, test iou: 0.644984
Train 22, loss: 0.108690, train acc: 0.962336, train avg acc: 0.961302, train iou: 0.926791
Test 22, loss: 1.491475, test acc: 0.591306, test avg acc: 0.653377, test iou: 0.411400
Train 23, loss: 0.070925, train acc: 0.974891, train avg acc: 0.973290, train iou: 0.950112
Test 23, loss: 0.150883, test acc: 0.952204, test avg acc: 0.956688, test iou: 0.906525
Train 24, loss: 0.058864, train acc: 0.979451, train avg acc: 0.978125, train iou: 0.958908
Test 24, loss: 0.139651, test acc: 0.953280, test avg acc: 0.953172, test iou: 0.905510
Train 25, loss: 0.055497, train acc: 0.980687, train avg acc: 0.979335, train iou: 0.961044
Test 25, loss: 0.186785, test acc: 0.949603, test avg acc: 0.957190, test iou: 0.900490
Train 26, loss: 0.051357, train acc: 0.981848, train avg acc: 0.980717, train iou: 0.963481
