Namespace(exp_name='ft', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 0, loss: 0.336797, train acc: 0.864491, train avg acc: 0.854996, train iou: 0.748365
Test 0, loss: 0.448096, test acc: 0.842217, test avg acc: 0.815535, test iou: 0.669852
Train 1, loss: 0.195390, train acc: 0.926686, train avg acc: 0.925564, train iou: 0.855417
Test 1, loss: 0.363406, test acc: 0.850394, test avg acc: 0.759528, test iou: 0.656761
Train 2, loss: 0.170375, train acc: 0.935943, train avg acc: 0.935040, train iou: 0.872281
Test 2, loss: 0.395213, test acc: 0.883432, test avg acc: 0.803645, test iou: 0.710520
Train 3, loss: 0.151475, train acc: 0.943941, train avg acc: 0.943893, train iou: 0.887876
Test 3, loss: 0.252971, test acc: 0.912830, test avg acc: 0.915205, test iou: 0.807473
Train 4, loss: 0.131144, train acc: 0.951391, train avg acc: 0.951663, train iou: 0.902166
Test 4, loss: 0.183795, test acc: 0.936574, test avg acc: 0.904454, test iou: 0.840450
Train 5, loss: 0.141852, train acc: 0.947043, train avg acc: 0.946718, train iou: 0.893899
Test 5, loss: 0.398813, test acc: 0.876428, test avg acc: 0.867135, test iou: 0.737500
Train 6, loss: 0.126351, train acc: 0.952951, train avg acc: 0.953253, train iou: 0.905138
Test 6, loss: 0.283329, test acc: 0.911187, test avg acc: 0.852406, test iou: 0.791419
Train 7, loss: 0.117836, train acc: 0.956324, train avg acc: 0.956373, train iou: 0.911810
Test 7, loss: 0.205848, test acc: 0.935420, test avg acc: 0.894853, test iou: 0.838732
Train 8, loss: 0.114887, train acc: 0.957210, train avg acc: 0.957304, train iou: 0.913412
Test 8, loss: 0.259684, test acc: 0.914203, test avg acc: 0.854974, test iou: 0.798663
Train 9, loss: 0.109201, train acc: 0.959506, train avg acc: 0.959471, train iou: 0.917779
Test 9, loss: 0.381477, test acc: 0.902736, test avg acc: 0.843595, test iou: 0.750459
Train 10, loss: 0.121465, train acc: 0.954596, train avg acc: 0.954255, train iou: 0.908163
Test 10, loss: 0.191504, test acc: 0.930534, test avg acc: 0.908410, test iou: 0.827587
Train 11, loss: 0.113344, train acc: 0.957878, train avg acc: 0.958128, train iou: 0.914739
Test 11, loss: 0.196069, test acc: 0.942240, test avg acc: 0.907793, test iou: 0.856693
Train 12, loss: 0.113828, train acc: 0.957668, train avg acc: 0.957531, train iou: 0.914136
Test 12, loss: 0.164970, test acc: 0.940594, test avg acc: 0.927014, test iou: 0.856965
Train 13, loss: 0.102568, train acc: 0.962102, train avg acc: 0.962129, train iou: 0.923086
Test 13, loss: 0.188181, test acc: 0.937590, test avg acc: 0.928080, test iou: 0.851704
Train 14, loss: 0.102466, train acc: 0.961636, train avg acc: 0.961559, train iou: 0.921757
Test 14, loss: 0.731963, test acc: 0.822840, test avg acc: 0.690206, test iou: 0.597633
